Tabela 10145 - População residente, total e diagnosticada com autismo, por sexo e grupo de idade;;;;;
Variável - População residente diagnosticada com autismo;;;;;
;Ano x Sexo;;;;
;2022;;;;
Grupo de idade;Total;Homens;Mulheres;;
Total;2405337;1441208;964129;;
60 a 64 anos;94216;41878;52339;;
65 a 69 anos;75748;33798;41950;;
70 a 74 anos;58693;26425;32268;;
75 a 79 anos;37426;15571;21856;;
80 a 84 anos;22791;9524;13267;;
85 a 89 anos;11808;4810;6997;;
90 a 94 anos;4471;1589;2882;;
95 a 99 anos;1346;366;980;;
100 anos ou mais;336;142;194;;
Fonte: IBGE - Censo Demográfico;;;;;
